example_id                                                  | status | run_time        |
./spec/flowline/executor/sequential_spec.rb[1:1:1]          | passed | 0.00018 seconds |
./spec/flowline/executor/sequential_spec.rb[1:1:2]          | passed | 0.00021 seconds |
./spec/flowline/executor/sequential_spec.rb[1:1:3]          | passed | 0.00018 seconds |
./spec/flowline/executor/sequential_spec.rb[1:1:4]          | passed | 0.00012 seconds |
./spec/flowline/executor/sequential_spec.rb[1:1:5]          | passed | 0.00018 seconds |
./spec/flowline/executor/sequential_spec.rb[1:1:6]          | passed | 0.00026 seconds |
./spec/flowline/executor/sequential_spec.rb[1:1:7]          | passed | 0.01057 seconds |
./spec/flowline/executor/sequential_spec.rb[1:1:8]          | passed | 0.00033 seconds |
./spec/flowline/executor/sequential_spec.rb[1:1:9]          | passed | 0.00017 seconds |
./spec/flowline/executor/sequential_spec.rb[1:1:10:1]       | passed | 0.00022 seconds |
./spec/flowline/executor/sequential_spec.rb[1:1:11:1]       | passed | 0.00031 seconds |
./spec/flowline/executor/sequential_spec.rb[1:1:11:2]       | passed | 0.00026 seconds |
./spec/flowline/executor/sequential_spec.rb[1:1:11:3]       | passed | 0.00024 seconds |
./spec/flowline/executor/sequential_spec.rb[1:1:11:4]       | passed | 0.00011 seconds |
./spec/flowline/executor/sequential_spec.rb[2:1:1]          | passed | 0.00011 seconds |
./spec/flowline/pipeline_spec.rb[1:1:1]                     | passed | 0.00008 seconds |
./spec/flowline/pipeline_spec.rb[1:1:2]                     | passed | 0.00007 seconds |
./spec/flowline/pipeline_spec.rb[1:2:1]                     | passed | 0.00008 seconds |
./spec/flowline/pipeline_spec.rb[1:2:2]                     | passed | 0.00008 seconds |
./spec/flowline/pipeline_spec.rb[1:2:3]                     | passed | 0.00008 seconds |
./spec/flowline/pipeline_spec.rb[1:2:4]                     | passed | 0.00008 seconds |
./spec/flowline/pipeline_spec.rb[1:3:1]                     | passed | 0.00017 seconds |
./spec/flowline/pipeline_spec.rb[1:3:2]                     | passed | 0.00014 seconds |
./spec/flowline/pipeline_spec.rb[1:3:3]                     | passed | 0.00016 seconds |
./spec/flowline/pipeline_spec.rb[1:3:4]                     | passed | 0.00017 seconds |
./spec/flowline/pipeline_spec.rb[1:4:1]                     | passed | 0.00009 seconds |
./spec/flowline/pipeline_spec.rb[1:4:2]                     | passed | 0.00015 seconds |
./spec/flowline/pipeline_spec.rb[1:4:3]                     | passed | 0.0001 seconds  |
./spec/flowline/pipeline_spec.rb[1:5:1]                     | passed | 0.00016 seconds |
./spec/flowline/pipeline_spec.rb[1:6:1]                     | passed | 0.0021 seconds  |
./spec/flowline/pipeline_spec.rb[1:7:1]                     | passed | 0.00007 seconds |
./spec/flowline/pipeline_spec.rb[1:8:1]                     | passed | 0.00009 seconds |
./spec/flowline/pipeline_spec.rb[1:8:2]                     | passed | 0.00009 seconds |
./spec/flowline/pipeline_spec.rb[1:9:1]                     | passed | 0.00008 seconds |
./spec/flowline/pipeline_spec.rb[2:1:1]                     | passed | 0.00017 seconds |
./spec/flowline/result_extended_spec.rb[1:1:1]              | passed | 0.00007 seconds |
./spec/flowline/result_extended_spec.rb[1:1:2]              | passed | 0.00006 seconds |
./spec/flowline/result_extended_spec.rb[1:1:3]              | passed | 0.00007 seconds |
./spec/flowline/result_extended_spec.rb[1:1:4]              | passed | 0.00006 seconds |
./spec/flowline/result_extended_spec.rb[1:1:5]              | passed | 0.00014 seconds |
./spec/flowline/result_extended_spec.rb[1:2:1]              | passed | 0.00011 seconds |
./spec/flowline/result_extended_spec.rb[1:2:2]              | passed | 0.00012 seconds |
